Block_ID,Trial_ID,Condition,Assigned_Delay_ms,Actual_Delay_ms,Timing_Error_ms,Button_Pressed,Response,Reaction_Time_ms,Response_Classification,EMG_Onset_Detected,Flip_Executed,Accuracy,flip_time_ms,button_time_ms,onset_time_ms,scoring_reason
1,35,delay_0,0.0,7.997035980224609,7.997035980224609,T,left,0.92003109999996,Button_After_Flip,T,T,False,7.997035980224609,270.8714008331299,,incorrect_response_after_flip_to_zero_coherence
1,36,control,n/a,No_Flip,n/a,T,left,1.169501500000024,Button_Before_Flip,F,F,True,,133.93616676330566,,correct_response_before_flip_or_control_trial
1,37,control,n/a,No_Flip,n/a,T,right,1.0378449999998338,Button_Before_Flip,F,F,True,,132.93695449829102,,correct_response_before_flip_or_control_trial
1,38,delay_250,250.0,265.8731937408447,15.873193740844728,T,right,1.029008499999691,Button_Before_Flip,T,F,True,265.8731937408447,132.9367160797119,,correct_response_before_flip_or_control_trial
1,39,delay_100,100.0,137.93492317199707,37.93492317199707,T,right,1.4318984000001365,Button_Before_Flip,T,T,True,137.93492317199707,133.93616676330566,,correct_response_before_flip_or_control_trial
2,0,control,n/a,No_Flip,n/a,T,left,1.1698159999996278,Button_Before_Flip,F,F,True,,133.9423656463623,,correct_response_before_flip_or_control_trial
2,1,delay_200,200.0,264.88614082336426,64.88614082336426,T,left,1.1727789999995366,Button_Before_Flip,T,F,True,264.88614082336426,132.94291496276855,,correct_response_before_flip_or_control_trial
2,2,control,n/a,No_Flip,n/a,T,right,0.9144825000003038,Button_Before_Flip,F,F,True,,133.9421272277832,,correct_response_before_flip_or_control_trial
2,3,delay_50,50.0,137.9415988922119,87.94159889221191,T,left,0.7867713000005097,Button_Before_Flip,T,T,True,137.9415988922119,133.9423656463623,,correct_response_before_flip_or_control_trial
2,4,control,n/a,No_Flip,n/a,T,right,0.899966800000584,Button_Before_Flip,F,F,True,,130.94377517700195,,correct_response_before_flip_or_control_trial
2,5,control,n/a,No_Flip,n/a,T,right,1.169609199999286,Button_Before_Flip,F,F,True,,134.94229316711426,,correct_response_before_flip_or_control_trial
2,6,delay_100,100.0,135.9407901763916,35.9407901763916,T,left,1.0437702999997782,Button_After_Flip,T,T,False,135.9407901763916,268.88394355773926,,incorrect_response_after_flip_to_zero_coherence
2,7,control,n/a,No_Flip,n/a,T,left,0.9105349999999816,Button_Before_Flip,F,F,True,,131.15715980529785,,correct_response_before_flip_or_control_trial
2,8,control,n/a,No_Flip,n/a,T,right,0.916780600000493,Button_Before_Flip,F,F,True,,133.9418888092041,,correct_response_before_flip_or_control_trial
2,9,delay_250,250.0,273.8821506500244,23.88215065002441,T,left,1.4523264999997991,Button_Before_Flip,T,F,True,273.8821506500244,132.94267654418945,,correct_response_before_flip_or_control_trial
2,10,delay_100,100.0,136.94167137145996,36.94167137145996,T,left,0.91032770000038,Button_Before_Flip,T,T,True,136.94167137145996,131.9434642791748,,correct_response_before_flip_or_control_trial
2,11,control,n/a,No_Flip,n/a,T,right,0.9074298000005,Button_Before_Flip,F,F,True,,132.94434547424316,,correct_response_before_flip_or_control_trial
2,12,control,n/a,No_Flip,n/a,F,,,No_Response,F,F,,,,,no_response
2,13,delay_250,250.0,No_Flip,n/a,F,,,No_Response,F,F,,,,,no_response
2,14,delay_0,0.0,5.998373031616211,5.998373031616211,T,right,1.0500529000000824,Button_After_Flip,T,T,False,5.998373031616211,143.9378261566162,,incorrect_response_after_flip_to_zero_coherence
2,15,delay_150,150.0,266.88528060913086,116.88528060913086,T,right,0.9128812999997536,Button_Before_Flip,T,F,True,266.88528060913086,133.9423656463623,,correct_response_before_flip_or_control_trial
2,16,control,n/a,No_Flip,n/a,T,left,0.7818817999996099,Button_Before_Flip,F,F,True,,132.94243812561035,,correct_response_before_flip_or_control_trial
2,17,delay_200,200.0,264.88566398620605,64.88566398620605,T,right,0.7776782999999341,Button_Before_Flip,T,F,True,264.88566398620605,132.94339179992676,,correct_response_before_flip_or_control_trial
2,18,delay_0,0.0,7.000923156738281,7.000923156738281,T,left,0.7821741999996448,Button_After_Flip,T,T,False,7.000923156738281,137.94732093811035,,incorrect_response_after_flip_to_zero_coherence
2,19,control,n/a,No_Flip,n/a,T,left,1.0371797000007064,Button_Before_Flip,F,F,True,,130.94353675842285,,correct_response_before_flip_or_control_trial
2,20,control,n/a,No_Flip,n/a,T,left,0.903139099999862,Button_Before_Flip,F,F,True,,132.94291496276855,,correct_response_before_flip_or_control_trial
2,21,delay_50,50.0,142.94028282165527,92.94028282165527,T,right,0.9585564999997588,Button_After_Flip,T,T,False,142.94028282165527,281.8789482116699,,incorrect_response_after_flip_to_zero_coherence
2,22,delay_250,250.0,273.8821506500244,23.88215065002441,T,left,0.8218155000004117,Button_Before_Flip,T,F,True,273.8821506500244,138.94057273864746,,correct_response_before_flip_or_control_trial
2,23,delay_150,150.0,276.8838405609131,126.88384056091309,T,right,1.0799307000006593,Button_Before_Flip,T,T,True,276.8838405609131,273.8816738128662,,correct_response_before_flip_or_control_trial
2,24,control,n/a,No_Flip,n/a,T,left,0.9433914000001096,Button_Before_Flip,F,F,True,,136.94119453430176,,correct_response_before_flip_or_control_trial
2,25,control,n/a,No_Flip,n/a,T,left,0.8081879000001209,Button_Before_Flip,F,F,True,,138.94152641296387,,correct_response_before_flip_or_control_trial
2,26,delay_200,200.0,No_Flip,n/a,T,left,0.9397705999999744,Button_Before_Flip,T,F,True,,4.000425338745117,,correct_response_before_flip_or_control_trial
2,27,delay_100,100.0,141.94130897521973,41.94130897521973,T,right,0.8102059000002555,Button_Before_Flip,T,T,True,141.94130897521973,138.93985748291016,,correct_response_before_flip_or_control_trial
2,28,delay_0,0.0,5.998849868774414,5.998849868774414,T,right,0.9416055000001506,Button_After_Flip,T,T,False,5.998849868774414,141.9389247894287,,incorrect_response_after_flip_to_zero_coherence
